Source,Title
NyTimes,Tax Cuts Are the Glue Holding a Fractured Republican Party Together
NyTimes,Jeff Flake a Fierce Trump Critic Will Not Seek Reelection for Senate
NyTimes,Another Republican Call to Arms but Who Will Answer
NyTimes,Full Transcript Jeff Flakes Speech on the Senate Floor
NyTimes,US Targets Terrorist Financing With New Round of Sanctions
NyTimes,Trump Keeps Focus on Retiring Senators Who Had Zero Chance of Being Elected
NyTimes,The JFK Files Over 50 Years of Doubts and Conspiracy Theories
NyTimes,Scott Brown US Envoy to New Zealand Faced Inquiry for Remarks to Women
NyTimes,The Unhealthy Politics of Pork How It Increases Your Medical Costs
NyTimes,Clinton Campaign and Democratic Party Helped Pay for Russia Trump Dossier
NyTimes,Jeff Flakes Defiant Surrender
NyTimes,Courting Democratic Ire Republicans Open New ObamaEra Inquiries
NyTimes,US Resumes Taking in Refugees but 11 Countries Face More Review
NyTimes,Senate Approves 365 Billion Aid Package as Hurricane Costs Mount
NyTimes,Bob Corker Says Trump Is Debasing the Country
NyTimes,Supreme Court Wipes Out Travel Ban Appeal
NyTimes,Army of Lobbyists Hits Capitol Hill to Preserve Nafta
NyTimes,General Mattis Stand Up to Trump or Hell Drag You Down
NyTimes,Expelling Immigrant Workers May Also Send Away the Work They Do
NyTimes,Trump and Corker Escalate Battle Over Taxes in Personal Terms
NyTimes,Trumps Fed Finalists Offer a Clear Choice Status Quo or Significant Change
NyTimes,The BoneSpur Bozo at the White House
NyTimes,Black Executives Join Forces Forming a PAC to Back Them Up
NyTimes,Democrats Lack Strong Challengers for Some Vulnerable GOP House Seats
NyTimes,US Targets Terrorist Financing With New Round of Sanctions
NyTimes,Trump Keeps Focus on Retiring Senators Who Had Zero Chance of Being Elected
NyTimes,The JFK Files Over 50 Years of Doubts and Conspiracy Theories
NyTimes,Scott Brown US Envoy to New Zealand Faced Inquiry for Remarks to Women
NyTimes,The Unhealthy Politics of Pork How It Increases Your Medical Costs
NyTimes,Clinton Campaign and Democratic Party Helped Pay for Russia Trump Dossier
NyTimes,Jeff Flakes Defiant Surrender
NyTimes,Courting Democratic Ire Republicans Open New ObamaEra Inquiries
NyTimes,US Resumes Taking in Refugees but 11 Countries Face More Review
NyTimes,Senate Approves 365 Billion Aid Package as Hurricane Costs Mount
NyTimes,Bob Corker Says Trump Is Debasing the Country
NyTimes,Supreme Court Wipes Out Travel Ban Appeal
NyTimes,Army of Lobbyists Hits Capitol Hill to Preserve Nafta
NyTimes,General Mattis Stand Up to Trump or Hell Drag You Down
NyTimes,Expelling Immigrant Workers May Also Send Away the Work They Do
NyTimes,Trump and Corker Escalate Battle Over Taxes in Personal Terms
NyTimes,Trumps Fed Finalists Offer a Clear Choice Status Quo or Significant Change
